player,opp,opp_rank,overall_rank,pos_rank,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,fanduel_pts,fanduel_cost,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,2-pt,fl,punt_td,kick_td


"Calvin Johnson (WR, DET)",OAK,#31,17,4,0.00,0.00,0.00,0.00,0.00,0.00,6.03,87.24,0.42,17.13,14.12,$8100,1.74,17.2,$7200,2.39,14.12,$128700,0.11,17.13,$13850,1.24,14.12,$5250,2.69,17.2,$6600,2.61,17.27,$7100,2.43,14.19,$6400,2.22,14.12,$31,455.48
"Marcus Mariota (QB, TEN)",JAC,#23,18,10,272.72,1.49,0.94,2.73,11.84,0.18,0.00,0.00,0.00,17.05,17.99,$7100,2.53,18.15,$5300,3.42,17.05,$123900,0.14,17.99,$12950,1.39,19.78,$6100,3.24,18.15,$6200,2.93,21.04,$5900,3.57,18.15,$5800,3.13,17.99,$31,580.32
"Rob Gronkowski (TE, NE)",BUF,#10,19,1,0.00,0.00,0.00,0.00,0.00,0.00,6.01,72.92,0.63,17.04,14.04,$8400,1.67,17.06,$7700,2.22,14.04,$145600,0.1,17.04,$15300,1.11,14.04,$5850,2.4,17.06,$6700,2.55,17.08,$8200,2.08,14.06,$6300,2.23,14.04,$28,501.43
"Philip Rivers (QB, SD)",KC,#9,20,11,283.36,2.05,1.12,1.45,1.31,0.00,0.00,0.00,0.00,16.99,18.11,$8300,2.18,18.33,$6900,2.66,16.99,$135900,0.13,18.11,$16650,1.09,19.82,$6900,2.87,18.33,$6800,2.7,21.38,$7700,2.78,18.33,$8400,2.18,18.11,$37,489.46
"Chris Ivory (RB, NYJ)",HOU,#13,21,5,0.29,0.00,0.00,18.77,81.83,0.48,2.88,23.25,0.13,16.94,15.5,$7200,2.15,17,$6100,2.79,15.5,$122800,0.13,16.94,$10850,1.56,15.5,$5100,3.04,17,$5700,2.98,17.06,$6900,2.47,15.56,$4600,3.38,15.5,$27,574.07
"Amari Cooper (WR, OAK)",DET,#27,22,5,0.00,0.00,0.00,0.13,0.59,0.00,5.11,81.08,0.58,16.8,14.24,$7200,1.98,16.8,$6800,2.47,14.24,$119900,0.12,16.8,$12600,1.33,14.24,$5100,2.79,16.8,$6200,2.71,16.8,$7100,2.37,14.24,$6000,2.37,14.24,$31,459.35
"Matthew Stafford (QB, DET)",OAK,#31,23,12,263.82,1.45,1.19,3.52,13.79,0.24,0.00,0.00,0.00,16.71,17.9,$7000,2.56,18.05,$5400,3.34,16.71,$124400,0.13,17.9,$14500,1.23,19.35,$6300,3.07,18.05,$7100,2.54,20.84,$6500,3.21,18.05,$6100,2.96,17.9,$32,559.38
"Darren McFadden (RB, DAL)",MIA,#26,24,6,0.00,0.00,0.00,15.72,73.62,0.45,2.90,27.59,0.20,16.54,15.09,$6800,2.22,16.75,$5000,3.35,15.09,$119700,0.13,16.54,$11700,1.41,15.09,$4850,3.11,16.75,$6500,2.58,16.96,$6100,2.78,15.3,$5900,2.59,15.09,$29,520.34
"Blake Bortles (QB, JAC)",TEN,#12,25,13,273.02,1.60,1.25,3.29,12.65,0.09,0.02,0.02,0.00,16.51,17.75,$7500,2.37,17.96,$5900,3.04,16.5,$129800,0.13,17.76,$14550,1.22,19.23,$6400,3,17.96,$7000,2.57,20.89,$7400,2.82,17.95,$7600,2.36,17.75,$35,507.14
"Randall Cobb (WR, GB)",MIN,#16,26,6,0.00,0.00,0.00,0.13,0.21,0.00,6.17,76.30,0.44,16.46,13.38,$7100,1.88,16.48,$6700,2.46,13.38,$111900,0.12,16.46,$11400,1.44,13.38,$5000,2.68,16.48,$6100,2.7,16.5,$6900,2.39,13.4,$6100,2.2,13.38,$27,495.56
"Brandon Marshall (WR, NYJ)",HOU,#13,27,7,0.00,0.00,0.00,0.00,0.00,0.00,6.11,79.07,0.41,16.4,13.34,$7900,1.69,16.44,$7000,2.35,13.34,$115800,0.12,16.4,$11550,1.42,13.34,$5350,2.49,16.44,$6300,2.61,16.48,$7300,2.26,13.38,$5800,2.31,13.34,$31,430.32
"Teddy Bridgewater (QB, MIN)",GB,#21,28,14,188.92,1.28,0.76,5.50,39.92,0.26,0.02,0.34,0.00,16.32,17.07,$6600,2.59,17.34,$5000,3.47,16.31,$108800,0.15,17.08,$12050,1.42,18.2,$5300,3.43,17.34,$5800,2.99,19.49,$4800,4.06,17.33,$5500,3.15,17.07,$24,711.25
"Alex Smith (QB, KC)",SD,#28,29,15,242.17,1.49,0.78,4.02,17.38,0.12,0.04,-0.39,0.00,16.27,17.03,$6200,2.75,17.25,$5000,3.45,16.25,$119200,0.14,17.05,$13900,1.23,18.67,$5650,3.3,17.25,$6400,2.7,19.87,$5700,3.49,17.23,$5400,3.19,17.03,$29,587.24
"Mike Evans (WR, TB)",PHI,#5,30,8,0.00,0.00,0.00,0.00,0.00,0.00,5.41,81.24,0.45,16.23,13.53,$8000,1.69,16.23,$7300,2.22,13.53,$123700,0.11,16.23,$13900,1.17,13.53,$5500,2.46,16.23,$6000,2.71,16.23,$6700,2.42,13.53,$6100,2.22,13.53,$25,541.2
"A.J. Green (WR, CIN)",ARI,#6,30,8,0.00,0.00,0.00,0.00,0.00,0.00,5.67,75.43,0.51,16.23,13.4,$8200,1.63,16.25,$7700,2.11,13.4,$114600,0.12,16.23,$13050,1.24,13.4,$5600,2.39,16.25,$6500,2.5,16.27,$7900,2.06,13.42,$7100,1.89,13.4,$31,432.26
"Ryan Fitzpatrick (QB, NYJ)",HOU,#13,31,16,239.88,1.38,0.99,3.88,22.87,0.20,0.02,-0.19,0.00,16.12,17.1,$7400,2.31,17.4,$5000,3.48,16.11,$122200,0.13,17.11,$12600,1.36,18.51,$6100,3.03,17.4,$6700,2.6,20.09,$6100,3.29,17.39,$5600,3.11,17.1,$30,570
"Demaryius Thomas (WR, DEN)",CHI,#25,32,9,0.91,0.02,0.00,0.00,0.00,0.00,5.84,73.94,0.43,16.01,13.09,$7700,1.7,16.01,$7300,2.19,13.09,$122100,0.11,16.01,$14250,1.12,13.1,$5300,2.47,16.01,$6400,2.5,16.02,$8100,1.98,13.09,$7800,1.68,13.09,$31,422.26
"Jeremy Maclin (WR, KC)",SD,#28,33,10,0.00,0.00,0.00,0.04,0.61,0.00,5.89,74.76,0.41,15.97,13.02,$6300,2.07,15.97,$5000,3.19,13.02,$83400,0.16,15.97,$9700,1.65,13.02,$4600,2.83,15.97,$5600,2.85,15.97,$6800,2.35,13.02,$3900,3.34,13.02,$26,500.77
"Charcandrick West (RB, KC)",SD,#28,34,7,0.00,0.00,0.00,15.40,77.78,0.51,2.61,23.67,0.06,15.96,14.65,$7100,2.06,16.07,$4500,3.57,14.65,$129100,0.11,15.96,$12950,1.23,14.65,$4950,2.96,16.07,$6200,2.59,16.18,$7200,2.25,14.76,$6200,2.38,14.65,$22,665.91
"LeGarrette Blount (RB, NE)",BUF,#10,35,8,0.88,0.00,0.00,16.84,73.01,0.51,2.75,24.73,0.08,15.92,14.54,$7300,1.99,16.01,$5000,3.2,14.54,$108100,0.13,15.92,$10100,1.58,14.55,$4850,3,16.01,$5100,3.14,16.11,$6400,2.52,14.63,$5400,2.71,14.54,$22,660.91
"Larry Fitzgerald (WR, ARI)",CIN,#11,36,11,0.00,0.00,0.00,0.00,0.00,0.00,5.17,73.25,0.55,15.76,13.17,$7400,1.78,15.8,$7200,2.19,13.17,$115900,0.11,15.76,$13000,1.21,13.17,$5500,2.39,15.8,$6500,2.43,15.84,$7900,2.01,13.21,$6000,2.2,13.17,$31,424.84
"DeMarco Murray (RB, PHI)",TB,#18,37,9,0.00,0.00,0.00,14.14,57.06,0.46,3.69,29.71,0.11,15.63,13.78,$7600,1.81,15.73,$6000,2.62,13.78,$132400,0.1,15.63,$14350,1.09,13.78,$5000,2.76,15.73,$6100,2.58,15.83,$6800,2.33,13.88,$7400,1.88,13.78,$29,475.17
"Jarvis Landry (WR, MIA)",DAL,#22,38,12,0.00,0.00,0.00,0.35,2.30,0.00,6.20,71.65,0.35,15.56,12.46,$7200,1.73,15.63,$6700,2.33,12.46,$108300,0.12,15.56,$12750,1.22,12.46,$4800,2.6,15.63,$5900,2.65,15.7,$7300,2.15,12.53,$6000,2.09,12.46,$27,461.48
"Steve Johnson (WR, SD)",KC,#9,39,13,0.00,0.00,0.00,0.00,0.00,0.00,5.83,71.24,0.39,15.29,12.38,$5600,2.21,15.31,$3900,3.93,12.38,$88800,0.14,15.29,$8950,1.71,12.38,$4800,2.58,15.31,$4800,3.19,15.33,$5800,2.64,12.4,$3400,3.65,12.38,$19,651.58
"T.Y. Hilton (WR, IND)",ATL,#19,40,14,0.00,0.00,0.00,0.00,0.00,0.00,4.77,69.10,0.58,15.16,12.78,$7200,1.78,15.2,$6200,2.45,12.78,$107100,0.12,15.16,$12150,1.25,12.78,$5200,2.46,15.2,$5400,2.81,15.24,$7500,2.03,12.82,$4700,2.73,12.78,$26,491.54
"Alshon Jeffery (WR, CHI)",DEN,#1,41,15,0.00,0.00,0.00,0.00,0.00,0.00,5.54,71.90,0.39,15.03,12.26,$7500,1.63,15.05,$6800,2.21,12.26,$110100,0.11,15.03,$14900,1.01,12.26,$5400,2.27,15.05,$5800,2.59,15.07,$7600,1.98,12.28,$7900,1.55,12.26,$29,422.76
"Marshawn Lynch (RB, SEA)",SF,#29,42,10,0.00,0.00,0.00,16.64,65.63,0.67,2.33,17.25,0.08,14.98,13.81,$8100,1.7,15.07,$6700,2.25,13.81,$125500,0.11,14.98,$11900,1.26,13.81,$5100,2.71,15.07,$6000,2.51,15.16,$7500,2.02,13.9,$5600,2.48,13.81,$26,531.15
"Jameis Winston (QB, TB)",PHI,#5,43,17,231.81,1.21,1.23,3.58,20.72,0.26,0.00,0.00,0.00,14.96,16.19,$6800,2.38,16.37,$5000,3.27,14.96,$117900,0.13,16.19,$13450,1.2,17.28,$5500,3.14,16.37,$5800,2.82,18.87,$6100,3.09,16.37,$5800,2.82,16.19,$26,622.69
"Latavius Murray (RB, OAK)",DET,#27,44,11,0.00,0.00,0.00,16.10,69.20,0.56,2.63,18.47,0.05,14.94,13.62,$6800,2,15,$5600,2.68,13.62,$114900,0.12,14.94,$10500,1.42,13.62,$4950,2.75,15,$5200,2.88,15.06,$6000,2.51,13.68,$5900,2.32,13.62,$27,504.44
"Brock Osweiler (QB, DEN)",CHI,#25,45,18,238.20,1.30,0.52,2.91,7.81,0.15,0.00,0.00,0.00,14.85,15.37,$6000,2.56,15.63,$5000,3.13,14.85,$112100,0.13,15.37,$11200,1.37,17.23,$5000,3.45,15.63,$6000,2.61,18.27,$5900,3.1,15.63,$6000,2.61,15.37,$20,768.5
"Matt Hasselbeck (QB, IND)",ATL,#19,46,19,233.79,1.73,0.77,1.98,2.74,0.02,0.02,-0.08,0.00,14.68,15.44,$6300,2.45,15.7,$5500,2.85,14.67,$110500,0.13,15.45,$10000,1.55,17.01,$5400,3.15,15.7,$6200,2.53,18.29,$4500,4.06,15.69,$5900,2.66,15.44,$28,551.43
"Frank Gore (RB, IND)",ATL,#19,47,12,0.45,0.02,0.00,14.35,51.03,0.22,4.47,33.74,0.07,14.59,12.35,$6600,1.87,14.71,$4700,3.13,12.35,$102500,0.12,14.59,$10150,1.44,12.35,$4550,2.71,14.71,$5500,2.67,14.83,$5900,2.51,12.47,$5900,2.11,12.35,$23,536.96
"Allen Robinson (WR, JAC)",TEN,#12,48,16,0.00,0.00,0.00,0.00,0.00,0.00,4.73,72.86,0.40,14.46,12.09,$7700,1.57,14.48,$7000,2.07,12.09,$124500,0.1,14.46,$12600,1.15,12.09,$5000,2.42,14.48,$6200,2.34,14.5,$7300,1.99,12.11,$7500,1.61,12.09,$31,390
"Lesean McCoy (RB, BUF)",NE,#14,49,13,0.00,0.00,0.00,14.70,66.20,0.50,2.86,19.28,0.02,14.41,12.98,$7500,1.73,14.49,$5500,2.63,12.98,$116800,0.11,14.41,$13150,1.1,12.98,$5250,2.47,14.49,$5200,2.79,14.57,$7300,2,13.06,$7000,1.87,12.98,$23,564.35
"Greg Olsen (TE, CAR)",WSH,#15,50,2,0.00,0.00,0.00,0.00,0.00,0.00,5.26,58.80,0.53,14.4,11.77,$6400,1.84,14.4,$6200,2.32,11.77,$122500,0.1,14.4,$12200,1.18,11.77,$4950,2.38,14.4,$5500,2.62,14.4,$6800,2.12,11.77,$5400,2.18,11.77,$23,511.74
"Chris Johnson (RB, ARI)",CIN,#11,51,14,0.00,0.00,0.00,15.25,63.18,0.47,2.72,19.59,0.13,14.32,12.96,$6800,1.91,14.48,$4700,3.08,12.96,$95100,0.14,14.32,$8350,1.71,12.96,$4800,2.7,14.48,$4700,3.08,14.64,$7300,2.01,13.12,$5200,2.52,12.96,$22,589.09
"Sammy Watkins (WR, BUF)",NE,#14,52,17,0.00,0.00,0.00,0.00,0.00,0.00,4.57,61.75,0.57,14.25,11.96,$6600,1.81,14.25,$4800,2.97,11.96,$97600,0.12,14.25,$9950,1.43,11.96,$4500,2.66,14.25,$5000,2.85,14.25,$6400,2.23,11.96,$5000,2.39,11.96,$25,478.4
"Mark Sanchez (QB, PHI)",TB,#18,53,20,237.17,1.82,1.30,2.82,10.18,0.00,0.00,0.00,0.00,14.14,15.44,$6400,2.41,15.96,$5000,3.19,14.14,$115900,0.12,15.44,$11100,1.39,16.52,$5650,2.92,15.96,$6200,2.57,18.86,$6000,3.14,15.96,$6100,2.62,15.44,$23,671.3
"Brandon LaFell (WR, NE)",BUF,#10,54,18,0.00,0.00,0.00,0.00,0.00,0.00,4.47,65.22,0.50,13.89,11.66,$6900,1.69,13.98,$4300,3.25,11.66,$95100,0.12,13.89,$9450,1.47,11.66,$4700,2.48,13.98,$5500,2.54,14.07,$6300,2.23,11.75,$5200,2.26,11.66,$22,530
"Kamar Aiken (WR, BAL)",STL,#2,55,19,0.00,0.00,0.00,0.00,0.00,0.00,5.16,73.93,0.24,13.87,11.29,$5900,1.91,13.95,$4800,2.91,11.29,$85100,0.13,13.87,$8100,1.71,11.29,$4500,2.51,13.95,$5000,2.79,14.03,$5100,2.75,11.37,$4200,2.71,11.29,$17,664.12
"Case Keenum (QB, STL)",BAL,#17,56,21,222.14,1.17,1.02,4.13,17.27,0.16,0.00,0.00,0.00,13.85,14.87,$4800,3.1,15.11,$5000,3.02,13.85,$105500,0.13,14.87,$10000,1.49,16.07,$4500,3.57,15.11,$3300,4.58,17.57,$4500,3.9,15.11,$4700,3.21,14.87,$20,743.5
"Danny Amendola (WR, NE)",BUF,#10,57,20,0.00,0.00,0.00,0.32,1.77,0.00,5.03,69.15,0.32,13.84,11.33,$6100,1.86,13.94,$4000,3.49,11.33,$92900,0.12,13.84,$9900,1.4,11.33,$4750,2.39,13.94,$5300,2.63,14.04,$6600,2.13,11.43,$6300,1.81,11.33,$16,708.13
"Jordan Matthews (WR, PHI)",TB,#18,57,20,1.08,0.05,0.00,0.00,0.00,0.00,5.26,62.35,0.35,13.84,11.21,$6300,1.78,13.84,$6000,2.31,11.21,$81300,0.14,13.84,$11200,1.24,11.22,$4500,2.49,13.84,$5000,2.77,13.85,$6000,2.31,11.21,$5000,2.24,11.21,$24,467.08
"Kirk Cousins (QB, WSH)",CAR,#7,58,22,252.57,1.30,1.28,2.52,10.87,0.08,0.02,0.14,0.00,13.82,15.09,$6900,2.19,15.38,$5300,2.9,13.81,$107500,0.13,15.1,$13700,1.1,16.34,$6100,2.68,15.38,$5300,2.9,18.19,$6000,3.03,15.37,$6200,2.48,15.09,$25,603.6
"Michael Crabtree (WR, OAK)",DET,#27,59,21,0.00,0.00,0.00,0.00,0.00,0.00,4.32,59.34,0.50,13.51,11.35,$6500,1.75,13.29,$6000,2.22,11.11,$105500,0.11,13.51,$11650,1.16,11.35,$4800,2.36,13.53,$5600,2.42,13.55,$6700,2.02,11.37,$5900,1.93,11.35,$29,391.38
"Ryan Tannehill (QB, MIA)",DAL,#22,60,23,254.86,1.28,1.10,1.90,5.34,0.04,0.00,0.00,0.00,13.49,14.59,$7000,2.08,14.81,$5100,2.9,13.49,$123900,0.11,14.59,$13700,1.06,16.04,$5900,2.72,14.81,$6300,2.35,17.58,$6900,2.55,14.81,$5800,2.55,14.59,$27,540.37
"Eric Decker (WR, NYJ)",HOU,#13,61,22,0.00,0.00,0.00,0.00,0.00,0.00,4.49,61.80,0.46,13.47,11.23,$7000,1.6,13.47,$5800,2.32,11.23,$109500,0.1,13.47,$12250,1.1,11.23,$4900,2.29,13.47,$5400,2.49,13.47,$7200,1.87,11.23,$6000,1.87,11.23,$29,387.24
"Emmanuel Sanders (WR, DEN)",CHI,#25,62,23,0.00,0.00,0.00,0.13,0.29,0.00,4.24,64.86,0.44,13.4,11.28,$7600,1.48,13.42,$7000,1.92,11.28,$100000,0.11,13.4,$10850,1.24,11.28,$5300,2.13,13.42,$5200,2.58,13.44,$7500,1.79,11.3,$4100,2.76,11.28,$28,402.86
"Joe Flacco (QB, BAL)",STL,#2,63,24,257.65,1.44,1.35,1.35,3.37,0.04,0.02,0.20,0.00,13.3,14.64,$7600,1.93,15.01,$5300,2.83,13.29,$119900,0.11,14.65,$14600,1,15.87,$5900,2.69,15.01,$6000,2.5,17.95,$5700,3.15,15,$6500,2.31,14.64,$28,522.86
"T.J. Yeldon (RB, JAC)",TEN,#12,64,15,0.00,0.00,0.00,14.82,55.33,0.28,3.06,26.90,0.09,13.22,11.69,$6400,1.83,13.36,$4800,2.78,11.69,$90900,0.13,13.22,$10350,1.28,11.69,$4700,2.49,13.36,$5000,2.67,13.5,$5800,2.33,11.83,$5800,2.04,11.69,$24,487.08
"Stefon Diggs (WR, MIN)",GB,#21,65,24,0.51,0.02,0.00,0.29,2.28,0.00,4.07,58.88,0.45,12.83,10.79,$6700,1.61,12.91,$5000,2.58,10.79,$104400,0.1,12.83,$10250,1.25,10.8,$4700,2.3,12.91,$5000,2.58,12.99,$6100,2.13,10.87,$5200,2.09,10.79,$27,399.63
"Davante Adams (WR, GB)",MIN,#16,66,25,0.00,0.00,0.00,0.00,0.00,0.00,5.49,57.56,0.26,12.73,9.98,$6800,1.47,12.77,$4600,2.78,9.98,$90900,0.11,12.73,$8650,1.47,9.98,$4500,2.22,12.77,$4600,2.78,12.81,$5500,2.33,10.02,$4200,2.39,9.98,$18,554.44
"Doug Martin (RB, TB)",PHI,#5,67,16,0.00,0.00,0.00,14.76,57.47,0.29,2.39,22.64,0.09,12.58,11.39,$6600,1.73,12.63,$5300,2.38,11.39,$93300,0.12,12.58,$10150,1.24,11.39,$4700,2.42,12.63,$4900,2.58,12.68,$6900,1.84,11.44,$5600,2.04,11.39,$25,455.6
"Antonio Gates (TE, SD)",KC,#9,68,3,0.00,0.00,0.00,0.00,0.00,0.00,4.86,55.73,0.39,12.53,10.1,$5900,1.71,12.65,$4800,2.64,10.1,$104600,0.1,12.53,$12850,0.98,10.1,$4900,2.06,12.65,$4800,2.64,12.77,$6900,1.85,10.22,$5100,2,10.1,$22,459.09
"Jay Cutler (QB, CHI)",DEN,#1,69,25,232.76,1.16,1.19,2.49,11.13,0.04,0.00,0.00,0.00,12.5,13.69,$7000,1.96,13.94,$5100,2.73,12.5,$120900,0.1,13.69,$14700,0.93,14.83,$6350,2.34,13.94,$5500,2.53,16.52,$6800,2.43,13.94,$5800,2.4,13.69,$27,507.04
"Jonathan Stewart (RB, CAR)",WSH,#15,70,17,0.00,0.00,0.00,15.35,65.29,0.63,1.45,8.87,0.00,12.41,11.68,$7000,1.67,12.53,$4400,2.85,11.68,$106400,0.11,12.41,$10250,1.21,11.68,$4700,2.49,12.53,$5000,2.51,12.65,$5600,2.26,11.8,$5000,2.36,11.68,$25,467.2
"Danny Woodhead (RB, SD)",KC,#9,71,18,0.00,0.00,0.00,7.57,30.68,0.11,4.52,35.09,0.14,12.32,10.06,$6400,1.57,12.46,$5300,2.35,10.06,$111200,0.09,12.32,$11650,1.06,10.06,$4650,2.16,12.46,$5000,2.49,12.6,$6500,1.94,10.2,$5600,1.82,10.06,$21,479.05
"Blaine Gabbert (QB, SF)",SEA,#3,72,26,194.56,1.18,0.65,2.40,10.47,0.04,0.00,0.00,0.00,12.25,12.9,$6000,2.15,13.06,$5000,2.61,12.25,$99400,0.12,12.9,$10000,1.29,14.2,$5000,2.84,13.06,$4300,3.04,15.17,$4700,3.23,13.06,$5200,2.51,12.9,$21,614.29
"DeSean Jackson (WR, WSH)",CAR,#7,73,26,1.05,0.02,0.00,0.00,0.00,0.00,3.99,63.47,0.28,12.14,10.14,$6100,1.66,12.14,$5100,2.38,10.14,$73900,0.14,12.14,$6000,2.02,10.15,$4400,2.31,12.14,$3900,3.11,12.15,$5000,2.43,10.14,$3700,2.74,10.14,$21,482.86
"Allen Hurns (WR, JAC)",TEN,#12,74,27,0.00,0.00,0.00,0.00,0.00,0.00,3.96,58.07,0.38,12.01,10.03,$7500,1.34,12.03,$5800,2.07,10.03,$103200,0.1,12.01,$10350,1.16,10.03,$4750,2.11,12.03,$4500,2.67,12.05,$6100,1.98,10.05,$5800,1.73,10.03,$26,385.77
"Jordan Reed (TE, WSH)",CAR,#7,75,4,0.00,0.00,0.00,0.00,0.00,0.00,4.77,53.83,0.34,12.01,9.63,$5800,1.66,12.1,$4900,2.47,9.63,$111000,0.09,12.01,$11600,1.04,9.63,$4750,2.03,12.1,$4300,2.81,12.19,$7600,1.6,9.72,$4700,2.07,9.63,$20,481.5
